q215	A 45-year-old man falls on an outstretched hand and develops pain and tenderness in the anatomic snuffbox. Which carpal bone is most commonly fractured in this injury?	Scaphoid	Scaphoid Fracture
q216	A 6-year-old boy falls on the elbow. X-ray shows a fracture of the proximal ulna with the radial head displaced off it. This Monteggia fracture-dislocation pattern classically dislocates which joint?	Radiocapitellar (radial head) joint	Monteggia Fracture
q217	An elderly woman falls on her outstretched palm and develops a painful wrist that shows a dinner-fork-like dorsal bump. Which fracture explains this deformity?	Colles fracture	Colles Fracture
q220	Two days after a closed tibial shaft fracture immobilised in a cast, the patient has intense pain not relieved by analgesia, pain on passive toe stretch and a tense calf. Which single action is most a	Check intra-compartmental pressure as the next step	Compartment Syndrome
q221	In children, which injury most commonly produces acute forearm compartment syndrome that may later lead to Volkmann ischemic contracture if undiagnosed?	Supracondylar fracture of the humerus	Supracondylar Humerus Fracture
q222	A 17-year-old boy has night pain and a warm swelling just above the knee. X-ray shows a sunburst pattern of subperiosteal bone formation. Which bone is the typical most frequent interface for this tum	Distal femur	Osteosarcoma
q223	A 30-year-old woman has mild pain and swelling at the wrist. X-ray of the distal radius end shows a radiolucent, eccentric expansile soap-bubble lesion crossing the epiphysis. Most likely diagnosis?	Giant cell tumour	Giant Cell Tumor
q224	A 15-year-old boy has a hard, painless, slow growing bony lump on the media of the proximal tibia, present for years. The X-ray shows a bone stalk continuous with the shaft. Which tumour is this?	Osteochondroma	Osteochondroma
q225	A 7-year-old has fever and a warm tender lower thigh refusing to bear weight. Which bone group is the most common site of acute hematogenous osteomyelitis in children?	Femur or tibia	Osteomyelitis
q226	A footballer pivots on the knee and the joint later feels as if it gives way. The tibia slides in front of the femur with the knee flexed. Which ligament has been torn?	Anterior cruciate ligament	ACL Injury
q729	A 70-year-old woman slips and sustains an extracapsular intertrochanteric fracture of the femur. Which treatment is the standard choice?	Dynamic hip screw (sliding hip screw)	Ankylosing Spondylitis
