q1058	One of the following statements regarding venom is incorrect:	Elapidae - Myotoxic	Dehydration Assessment
q354	A drowned body holds aquatic weeds in one clenched hand. Which statement is correct about this phenomenon?	It is instantaneous rigidity of muscles active at the moment of death	Drowning
q358	For skeletal age estimation of a girl claiming to be 17 years, which single radiograph carries most weight?	Knee joint	Age Estimation
q359	A forensic anthropologist differentiates sex from the skull. Which feature is distinctly masculine?	Prominent supraorbital ridges and external occipital protuberance	Identification
q363	In a gunshot autopsy, soot and blackening are found inside the wound track. Where does this finding confirm entrance?	Deep inside the entry track near the skin	Firearm Injuries
q364	A revolver fired with muzzle pressed firmly against the scalp produces a stellate ragged wound. This suggests which firing distance?	Contact	Firearm Injuries
q366	In a fire death, which finding best proves the person was alive when the fire occurred?	Soot particles in larynx, trachea and bronchi	Fire Deaths
q368	A ligature mark of the neck is oblique, rising toward the knot at the back of the neck, placed above the thyroid cartilage. This pattern fits:	Typical hanging	Hanging
q369	In judicial hanging by the long drop method, the commonest cause of death is:	Fracture-dislocation of upper cervical spine with cord injury	Hanging
q370	A body recovered from freshwater shows hemolyzed blood and raised serum potassium. The mechanism is:	Water entry causes hemolysis with hyperkalemia and arrhythmia	Drowning
q371	An offender kneels on the victim's chest, occludes the nose and mouth with a hand, causing smothering combined with chest compression. This is:	Burking	Asphyxial Deaths
q372	A young woman is found dead with two semicircular thumbprint bruises on either side of the front of the neck. The mechanism is:	Manual strangulation (throttling)	Strangulation
q376	A child is born several months after the death of her father; DNA confirms paternity. The child is legally termed:	Posthumous child, legitimate heir	Medical Jurisprudence
q378	A medicolegal autopsy for a hospitalized road traffic accident death is ordered by:	The magistrate	Medicolegal Autopsy
q380	In a civil consumer complaint of medical negligence, the burden of proof is on:	The patient to prove negligence on balance of probabilities	Medical Negligence
q381	A 14-year-old needs elective appendicectomy. Valid consent must come from:	Parent or legal guardian	Consent
q382	The four Ds of medical negligence are:	Duty, dereliction, direct causation, damages	Medical Negligence
q383	A child ingests toilet cleaner containing sulfuric acid. Which gastric management is correct?	Gastric lavage is contraindicated; give demulcents	Corrosive Poisoning
q385	In lead poisoning, which enzyme pair is directly inhibited?	ALA dehydratase and ferrochelatase	Lead Poisoning
q386	Transverse white lines (Mees lines) in the nails of chronic poisoning are classically associated with:	Arsenic	Arsenic Poisoning
q387	A middle-aged man develops total alopecia, dark raindrop pigmentation of the neck and chronic diarrhea. The poison is:	Thallium	Thallium Poisoning
q390	In organophosphate poisoning, the enzyme reactivator pralidoxime is of clinical benefit mainly within:	24-48 hours before aging of acetylcholinesterase	Organophosphate Poisoning
q391	The accepted antidote combination in cyanide poisoning is:	Sodium nitrite followed by sodium thiosulfate	Cyanide Poisoning
q392	Mass deaths after consuming illicit country liquor in a village are most often due to:	Methanol	Methanol Poisoning
