q1875	Which of the following structures is not typically implicated in a positive Trendelenburg gait?	Sciatic nerve	Cardiopulmonary Resuscitation
q203	A newborn vomiting since the first feed has a supine abdominal X-ray with a single double bubble and no distal gas. Likely diagnosis:	Duodenal atresia	Duodenal Atresia
q204	A 12-year-old boy with thigh pain has an X-ray showing a fusiform diaphyseal lesion with layered onion-peel periosteal reaction. Diagnosis:	Ewing sarcoma	Ewing Sarcoma
q205	Distal femur X-ray (an adolescent) shows a metaphyseal lesion with sunburst speculated periosteal reaction and a Codman triangle. Diagnosis:	Osteosarcoma	Osteosarcoma
q206	A 65-year-old man's skull radiograph shows patchy cotton wool sclerosis with an enlarged vault. Diagnosis:	Paget disease	Paget Disease of Bone
q2068	Which of the following diseases is solely observed in females?	Rett syndrome	Epidemic Typhus
q2069	How should you manage a patient with a long-standing history of alcoholism who, two days after stopping alcohol, develops seizures, altered sensorium, auditory hallucinations, and secondary delusions,	1,2	Histoplasmosis
q207	Chest X-ray of a foundry worker shows ring-like eggshell calcification of the hilar lymph nodes. Most likely cause:	Silicosis	Silicosis
q2070	Match the following: 1. Eonism a. Exposure of one's gen- itals to an unsuspect- ing stranger 2. Exhibitionism b. Sexual gratification by intercourse with dead bodies 3. Frotteurism c. Sexual pleasure 	1-c, 2-a, 3-d, 4-b	HIV Diagnosis in Infants
q2076	A breast lump is detected in a female patient. All but one of the following options can be used to rule out malignancy. Which option cannot be used for this purpose?	PET scan	Enterobius (Pinworm)
q208	A dyspneic patient with heart failure has a chest film showing butterfly perihilar opacity sparing the periphery. Diagnosis:	Pulmonary edema	Pulmonary Edema
q209	Elderly patient with abdominal distension: X-ray shows a coffee-bean gas loop and enema shows a bird's beak taper. Diagnosis:	Sigmoid volvulus	Sigmoid Volvulus
q210	Supine chest X-ray of an intubated trauma patient shows an unusually lucent deep right costophrenic angle. Likely diagnosis:	Pneumothorax	Pneumothorax
q211	Skull X-ray of a chronically anemic child shows striated perpendicular hair-on-end spicules widening the diploe. Diagnosis:	Thalassemia major	Thalassemia
q212	Infant with colicky pain and currant-jelly stools: right hypochondrial ultrasound shows a target ring sign. Diagnosis:	Intussusception	Intussusception
q213	A young woman's PA chest film shows bilateral hilar plus right paratracheal adenopathy in a 1-2-3 pattern. Most likely cause:	Sarcoidosis	Sarcoidosis
q214	Contrast-enhanced head CT shows a non-enhancing central delta wrapping a facet of the superior sagittal sinus. In post-typofrontal, fits best:	Acute superior sagittal sinus thrombosis	Cerebral Venous Thrombosis
q2250	What is the likely diagnosis in a child with growth retardation, joint swelling, wrist X-ray abnormalities, and laboratory findings showing markedly elevated serum ALP levels (>1500)? NODIA 477=== pag	Ecosprin, methotrexate, cyclophosphamide, corticosteroids, azathioprine are safe in pregnancy	Breast Cancer Prognosis
q2251	Which of the statements below is not true regarding the management of diabetes during pregnancy?	Insulin must be recommended in case of small for gestational age infant	Burns
q2252	Which of the following tests is not routinely advised for screening pregnant women because it is not cost-effective?	Echo cardiography for cardiac disease	Childhood Pneumonia
q2253	In which condition are the seminal vesicles and vas deferens congenitally absent on both sides?	Cystic fibrosis	Neonatal Herpes
q2254	Kassowitz rule is related to :	Congenital syphilis	Teratogenic Drugs
q2255	What is the hormone secreted by the placenta?	hCG	Neonatal Pulmonary Hypertension
q2256	A 37-year-old unmarried, nulliparous woman who is sexually active and takes oral contraceptives has a family history of breast cancer in her mother at age 60 and ovarian cancer in her sister at age 40	Genetic counseling and screening for BRCA	Dengue
q2257	The given image depicts :	Succenturiate lobe	Rheumatoid Arthritis
q2412	Which of the following methods is not considered a form of long-acting reversible contraception (LARC)?	Laparoscopic tubal ligation	Bacillus cereus Food Poisoning
q2413	What initial treatment options are suitable for a teenage girl who presents with irregular menstrual cycles, excessive facial hair, and enlarged ovaries? 1.	 Laparoscopic ovarian drilling 2.	 Anti-and	2,3,4	Hanging
q2753	A pregnant woman experiences nighttime cramps. What should the nurse advise her to do?	Dorsiflexion with knee extension	ECG Diagnosis
q2754	What is the fetal position shown in the diagram relative to the maternal pelvis?	ROA	ACTH Therapy
q2755	Identify the procedure in the image shown below.	Lateral Grip	Cyanotic Heart Disease
q2756	A midwife is examining a pregnant woman and notices an umbilical cord prolapse. What should be the next step in management?	Place the patient in the Trendelenburg position.	SIRS Criteria
q2757	What is the minimum cervical dilation at which a partograph should be initiated?	4cm	HPV Vaccination
q2758	A woman is advised to undergo a Pap smear and asks what it is. How would you explain it to her?	It's screening for cervical cancer	Genetic Screening
q2759	HPV causes cervical carcinoma due to which of the following?	E2, E6	Typhoid Prevention
q902	A preterm newborn with grunting and retractions has a film of widespread ground-glass granularity plus air bronchograms and over-aeration. The most consistent diagnosis is:	Surfactant-deficient respiratory distress syndrome	Measures of Association
