q227	The saccule, an otolith organ sensing gravity and linear acceleration, embryologically develops from which part of the otocyst?	Pars inferior	Inner Ear Development
q228	Which eponymous reflex describes coughing when the external auditory canal is scratched or stimulated?	Arnold reflex	Ear Reflexes
q229	A patient with stenosis of the cartilaginous external auditory canal requires a procedure to widen it. Which one is performed?	Meatoplasty	EAC Stenosis
q230	A patient has a painless, foul-smelling ear discharge with multiple tympanic membrane perforations and pale granulations. Which classical feature of tuberculous otitis media is least typical?	Severe otalgia	Tuberculous Otitis Media
q231	A patient complains of intranasal obstruction even though the nasal cavity looks abnormally wide with a roomy interior, crusted yellowish-green scales and anosmia the patient does not perceive. The mo	Atrophic rhinitis (oaena)	Atrophic Rhinitis
q232	Arrange in correct rostral sequence the ascending central auditory pathway: cochlear nucleus, spiral ganglion, inferior colliculus, medial geniculate body, superior olivary complex.	Spiral ganglion → cochlear nucleus → superior olivary → inferior colliculus → medial geniculate	Auditory Pathway
q233	Histology of a vestibular nerve sheath tumor shows compact spindle cells in palisades around acellular zones. These palisaded whorls, giving the classic 'banana' appearance, are called?	Verocay bodies (Antoni A areas)	Vestibular Schwannoma
q234	Bent and Kuhn have proposed major diagnostic criteria for allergic fungal rhinosinusitis. Which of the following is NOT a classical accepted major criterion?	Elevated serum IgA	Allergic Fungal Rhinosinusitis
q235	Suspicion of cerebrospinal fluid rhinorrhea arises after trauma with clear unilateral nasal drip. Which laboratory protein is essentially specific for confirming CSF?	Beta-2 transferrin	CSF Rhinorrhea
q236	A patient with moderate asthma, bilateral allergic nasal polyps and aspirin-induced exacerbation of both is demonstrating which classic syndrome?	Samter triad	Samter Triad
q237	Which nasal infection presents as a pedunculated friable, vascular polypoid mass studded with whitish spore-bearing cysts, classically resembling a strawberry, caused by Rhinosporidium seeberi?	Rhinosporidiosis	Rhinosporidiosis
q238	A patient with a grey-white thicker pseudomembrane over the fauces extending to the larynx and stridor. Which intervention cancels the damaging toxin quickly?	Intravenous diphtheria antitoxin	Diphtheria
q239	This aggressive cellulitis of the submandibular space bilaterally elevates the floor of the mouth and larynx, trismus absent, with imminent airway risk. What is the best immediate priority?	Securing airway with elective tracheostomy	Ludwig Angina
q240	A neonate-young toddler with acute stiff neck, high fever, muffled cry and bulging of the posterior pharyngeal wall has an abscess. Infectious-inflammation usually develops at this age too because...	Infected lymph node behind prevertebral fascia in young children	Retropharyngeal Abscess
q241	The chorda tympani branch of the facial nerve, crossing behind the tympanic membrane inside the middle ear, carries which sensation?	Taste from anterior two-thirds of tongue	Chorda Tympani
q242	Severe ear pain with vesicles over the pinna and concha and ipsilateral facial nerve paralysis following reactivation of Varicella-zoster. The name given is?	Ramsay Hunt syndrome	Ramsay Hunt Syndrome
q243	Glue-like non-infectious effusion behind an intact tympanic membrane in a toddler is the most common cause of which pattern of disability?	Conductive hearing loss	Otitis Media with Effusion
q244	A 70-year-old, symmetrical gradually worsening hearing, trouble understanding speech in noise, asking repetition; tympanogram undermines intact; audiogram reveals what profile?	Bilateral symmetric high-frequency sensorineural pattern	Presbycusis
q245	For the idiopathic peripheral facial nerve (Bell) palsy seen within 72 hours of onset, what is the recommended first line specific therapy?	High-dose oral corticosteroids	Bell Palsy
q246	An aminoglycoside antibiotic given locally into the middle ear produces more selective harm to the vestibular apparatus than to hearing, leading to ataxia. Which one?	Gentamicin	Ototoxic Drugs
q247	Keratoma of the lateral auditory canal: keratin plug against an intact diaphragm, bowing the wall and commonly associated with sinuso-bronchopulmonary disease. Which is correct?	Condition known as keratosis obturans, association chronic sinusitis plus bronchiectasis	Keratosis Obturans
q248	Sinonasal inverted papillomas are benign but locally aggressive; epidemiologically they are associated with which viral infections and an elevated rate of eventual malignancy in some?	HPV (human papillomavirus)	Inverted Papilloma
q249	In acute otitis media with severe Oral tympanic membrane bulging and ear pain, which antibiotic is appropriate first-line in most regions?	Amoxicillin (high dose)	Acute Otitis Media
q250	Moderate-to-severe seasonal allergic rhinopathy with sneezing and pruritic wateriness is best controlled by which primary medication?	Intranasal corticosteroid	Allergic Rhinitis
q251	Chronic discharging ear in a man with persistent retro-orbital pain and diplopia from sixth cranial nerve weakness, all fine. This triad of otorrhea, pain and CN VI = carries diagnosis of?	Gradenigo syndrome (petrous apicitis)	Petrous Apicitis
q252	A patient from unsafe CSOM with cold-chill, hectic remittent fever and rec-distended neck veins. Sigmoid tap is tender; pick the correct intracranial complication.	Lateral - sigmoid venous sinus thrombosis	Sigmoid Sinus Thrombosis
q253	In posterior ethmoid cells that overlie, lie above or lateral the sphenoid sinus may endanger which structure?  The cells are called Onodi.	Optic nerve	Onodi Cells
q254	A child with congenital bilateral external atresia of ear canals and conductive loss — which bone conduction device exploits direct skull stimulation and works well?	BAHA bone-anchored hearing aid	Bone Conduction Implants
q255	A unilateral elevated choanal polyp in youth arising through and accessory ostium originating from the maxillary antitum. What is the identification?	Antrochoanal polyp	Antrochoanal Polyp
q256	A peritonsillar abscess — quinsy — pushes the uvula toward which side while the voice gets muffled (hot pottery)?	Pus containing swelling pushes uvula away (contralateral)	Peritonsillar Abscess
q257	Blockade of pterygoid muscles from an infected parapharyngeal space; the child patient presents with trismus. Which clinical clue belongs here?	Trismus is a prominent characteristic of parapharyngeal infections	Parapharyngeal Abscess
q258	Which is the principal arterial supply (branch of external carotid) going to the palatine tonsil?	Facial (via tonsillar branch)	Tonsillar Blood Supply
q259	Luschka's crypts and Gerlach's tonsil refer to lymphatic tissue lying where?	To the pharyngeal roof (adenoid) and around the tubal orifice	Waldeyer Ring
q260	A painful purulent ear drainage in an older, diabetic individual whose granulation tissue at the canal floor bone is exposed. The most probable bacteria culture?	Pseudomonas aeruginosa	Malignant Otitis Externa
q261	A severe right snuffle with high-tone loss. Rinne response from the impaired side paradoxically is negative although there's marked sensorineural impairment. What is this exam memory artifact?	No-conductive — for accompanied component over mask released/ false-negative	Rinne Test
q262	Sudden unilateral sensorineural within 3 weeks, unexplained, diagnostic primitivity calls for early intervention with what?	Corticosteroids	Sudden Sensorineural Hearing Loss
q263	Which runs of facial nerve traverses between its geniculate and fallopian (the middle ear medial) and blends with the stapedius?	Horizontal (tympanic) segment	Facial Nerve Anatomy
q264	In otitis media complications the most common site of intracranial cerebro-inthecotic abscess arising for the middle ear spread is the?	Temporal lobe (alongly with the cerebellum)	Otogenic Intracranial Complications
q265	Which point of normal ear physiology active actively equalizes middle-ear pressure?	Swallowing activities with tubal mucosa muscles	Eustachian Tube Function
q266	Disgusting in elderly with hypertension given posterior nasal bleeding that drips posteriorly. Which plexus has primary importance / site of bleeding?	Woodruff's plexus on the posterior-inferior edge of the lateral septum	Epistaxis
q267	What otological sign arises from a cholesteatoma eroding the horizontal semicircular canal? 	Fistula sign positive: vertigo and coup on pressing the tragus	Cholesteatoma
