q268	Which statement best describes the cellular role of the 26S proteasome?	Targeted degradation of ubiquitin-tagged proteins	Protein Degradation
q269	Alanine is swapped for another residue in a protein, and the absorbance at 280 nm rises sharply. Which residue was the substitution?	Tryptophan	Aromatic Amino Acids
q270	Among the following dietary sources, which carries the largest amount of vitamin B12?	Liver	Vitamin B12
q272	A patient with cholestatic jaundice. When the van den Bergh test is run in aqueous solution without alcohol, the expected finding is:	Prompt direct (immediate) reaction due to conjugated bilirubin	Bilirubin Metabolism
q275	Entry of long-chain fatty acids into the mitochondrial matrix for beta-oxidation is accomplished through the shuttle mediated by:	Carnitine	Fatty Acid Oxidation
q276	A single nucleotide change turns a normal codon into a translation termination signal. This mutation class is:	Nonsense mutation	Mutation Types
q277	Nuclear DNA is packaged into nucleosomes (beads-on-a-string) chiefly with the aid of:	Histones	Chromatin Structure
q279	The methyl donor used when norepinephrine is converted to epinephrine is:	S-Adenosylmethionine	Methylation Reactions
q280	In the brain's ammonia detoxification, ammonia is fixed into glutamate/glutamine, draining the toxic substrate of the TCA cycle. Which TCA intermediate is depleted?	Alpha-ketoglutarate	Ammonia Detoxification
q281	Neonate with cataracts, hepatomegaly and vomiting; Benedict's test on urine is positive though glucose-oxidase strips are negative. The defective enzyme is:	Galactose-1-phosphate uridyl transferring enzyme	Galactosemia
q286	By the age of 6-8 months this infant shows startle, regression and a cherry-red spot; hexosaminidase A is reduced. The accumulating substance is:	GM2 ganglioside	Tay-Sachs Disease
q287	Chronic course with hepatosplenomegaly, bone crises and marrow Gaucher cells (tissue-paper cytoplasm). Deficient enzyme:	Beta-glucocerebrosidase	Gaucher Disease
q288	Child with gargan boutons, cloudy cornea, organomegaly and peripheral neuropathy; alpha-l-iduronidase activity is near zero. Which molecules are trapped in cells?	Dermatan sulfate and Heparan sulfate	Mucopolysaccharidosis
q289	Darkening urine upon standing together with ochre deposits in the sclera and cartilages connote a defect in:	Homogentisic acid oxidase	Alkaptonuria
q290	A youth has recurrent renal colic; urine sediment shows flat hexagonal crystals. The diagnosis is based on:	Defective renal tube transport of the dibasic (dibasic amino acid transport) group	Cystinuria
q291	Child with extreme hyperphenylalaninemia whose phenylalanine hydroxylase protein is present and functional. Which missing cofactor explains the picture?	Tetrahydrobiopterin	Phenylketonuria
q292	Maple-syrup flavoured urine and neuro decline in a neonate stem from a deficiency of which enzymatic complex?	Branched-chain alpha-keto acid dehydrogenase	Maple Syrup Urine Disease
q293	A classic deficiency where rash (dermatitis) in sun-exposed areas, diarrhea and memory of mood disturbance coexist is due to lack of:	Niacin (B3)	Pellagra
q294	RBC transketolase activity with/without added TPP is the standard functional assay for the reserve of which vitamin?	Thiamine (B1)	Thiamine Deficiency
q295	Perifollicular hemorrhages, bruise-prone gums, lusterless hair and marrow failure in a patient surviving on a bread-only diet — which hydroxylation will fail biochemically?	Proline hydroxylation in collagen	Scurvy
q296	Bleeding tendency with a prolonged prothrombin time that recovers fully after a dose of vitamin K. The vitamin enables which chemical change directly?	Gamma-carboxylation of glutamyl residues	Vitamin K
q297	Father died of early MI; tendon xanthomas and very high LDL suggest a genetic loss-of-function of which protein?	LDL receptor	Familial Hypercholesterolemia
q299	A neonate with hemolytic crisis and near-zero ATP in RBCs; the defective enzyme is the one that phosphorylates PEP to pyruvate:	Pyruvate kinase	Pyruvate Kinase Deficiency
q300	In which enzyme-deficient lactosis does biotin usually rescue the clinical picture (biotin supplement is beneficial)?	Pyruvate carboxylase	Biotin Metabolism
q301	Regular physical activity recruiting GLUT4 from vesicles to the sarcolemma is an insulin-independent component of the effect of:	GLUT4 translocation	Glucose Transport
q302	Patient with extreme photosensitivity, skin mottling and basal cell tumors; the DNA-repair process that is broken here is:	Nucleotide excision repair	DNA Repair
q303	Which PCR strategy is best to detect several different pathogens simultaneously from one cerebrospinal-fluid sample in suspected meningitic syndrome?	Multiplex PCR	PCR Techniques
q304	In an isolated-perfused mito experiment, a single-established inhibitor that blocks NADH dehydrogenase of electron transport chain is:	Rotenone	Electron Transport Chain
q305	Which macronutrient load generates the highest thermic effect of food (% of the ingested energy)?	Protein	Thermic Effect of Food
q306	Correct order of steps in one cycle of polymerase chain reaction is:	Denature → anneal → extension	PCR Techniques
q308	The maximum number of divisions a somatic human cell population can undergo before growth arrest is conceptually known as:	Hayflick limit	Cell Senescence
q309	Xanthurenic aciduria, a vitamin-responsive inborn error, is classically treated with pharmacologic doses of:	Vitamin B6	Vitamin B6
q310	Antibody affinity maturation depends on point mutations arising in V-region genes, a process termed:	Somatic hypermutation	Antibody Diversity
q312	A child has evidence of cystic fibrosis. The common mutation underlying clinical disease in global CF cohorts is:	Deletion phenster of phenylalanine at 508 (dF508)	Cystic Fibrosis Genetics
